"gene","cellType.target","mean.target","cellType","mean","ratio","rank_ratio","anno_ratio"
"MYRIP","Basal",1.17365448250908,"Lateral",0.564116412311012,2.08051823505892,6,"Basal/Lateral: 2.081"
"COL25A1","Basal",1.67261227052978,"Lateral",0.852109407873916,1.96290787905169,7,"Basal/Lateral: 1.963"
"ZNF385B","Basal",1.46389758264588,"Lateral",0.797049081138687,1.83664672262656,10,"Basal/Lateral: 1.837"
"SLIT2","Basal",1.09719120201821,"Lateral",0.603281678430458,1.81870466358725,11,"Basal/Lateral: 1.819"
"SFMBT2","Basal",1.01605189661608,"Lateral",0.585007426108924,1.73681880138544,14,"Basal/Lateral: 1.737"
"TENM3","Basal",1.51762813417214,"Lateral",0.895903152230138,1.69396449872329,17,"Basal/Lateral: 1.694"
"SPOCK1","Basal",1.2560339379346,"Lateral",0.74620123059502,1.68323755903355,20,"Basal/Lateral: 1.683"
"PPARGC1A","Basal",1.8217536410917,"Lateral",1.11595403299826,1.63246297537646,23,"Basal/Lateral: 1.632"
"SUSD4","Basal",1.08417783876296,"Lateral",0.667024880124188,1.62539340145919,26,"Basal/Lateral: 1.625"
"NTM","Basal",2.78880236904646,"Lateral",1.72099660627917,1.62045779687846,27,"Basal/Lateral: 1.62"
"SORCS3","Basal",1.22865837701907,"Lateral",0.770808764560618,1.5939859969281,30,"Basal/Lateral: 1.594"
"TMTC1","Basal",1.33507783809586,"Lateral",0.838867634783787,1.5915238384897,31,"Basal/Lateral: 1.592"
"SIPA1L3","Basal",1.02513438271783,"Lateral",0.645486518668822,1.58815769666568,33,"Basal/Lateral: 1.588"
"SOX5","Basal",1.89048524644758,"Lateral",1.20788180901014,1.56512436262025,35,"Basal/Lateral: 1.565"
"SEZ6L","Basal",1.35548196177762,"Lateral",0.882782345757029,1.5354656425704,39,"Basal/Lateral: 1.535"
"MEGF11","Basal",1.10986603342092,"Lateral",0.749657347047668,1.48049777380538,43,"Basal/Lateral: 1.48"
"PEX5L","Basal",2.38573398828038,"Lateral",1.62151769386784,1.47129691973304,46,"Basal/Lateral: 1.471"
"CACNB2","Basal",1.91275096177421,"Lateral",1.30624836275809,1.46430879173354,48,"Basal/Lateral: 1.464"
"ADAMTS3","Basal",1.08026484000573,"Lateral",0.749442522181909,1.44142453628154,53,"Basal/Lateral: 1.441"
"DPP10","Basal",3.11677568563735,"Lateral",2.17034009913026,1.43607708620707,54,"Basal/Lateral: 1.436"
"APBA2","Basal",1.28364858127579,"Lateral",0.894017910766834,1.43581975910835,55,"Basal/Lateral: 1.436"
"CCBE1","Basal",1.45496967552066,"Lateral",1.01390915884102,1.43500989495332,56,"Basal/Lateral: 1.435"
"TMEM132D","Basal",1.73954497725864,"Lateral",1.21428926018049,1.4325622685653,57,"Basal/Lateral: 1.433"
"CACNA1E","Basal",2.75802908803442,"Lateral",1.9597148947207,1.4073624155556,62,"Basal/Lateral: 1.407"
"GRK3","Basal",1.20138351727549,"Lateral",0.854480244970047,1.40598161788703,63,"Basal/Lateral: 1.406"
"OSBP2","Basal",1.18454684404992,"Lateral",0.843311279188875,1.40463773375504,64,"Basal/Lateral: 1.405"
"SH3RF3","Basal",1.33797125221533,"Lateral",0.953639020750643,1.40301646965134,65,"Basal/Lateral: 1.403"
"RPS6KA2","Basal",2.06775316956114,"Lateral",1.50328320908626,1.37549142906877,70,"Basal/Lateral: 1.375"
"PLXDC2","Basal",1.16246515556699,"Lateral",0.852266736775346,1.36396870299705,76,"Basal/Lateral: 1.364"
"NFIA","Basal",1.07570834925612,"Lateral",0.789432913016298,1.3626342802785,77,"Basal/Lateral: 1.363"
"PTPRS","Basal",1.39871502796153,"Lateral",1.03162078940016,1.35584222645883,80,"Basal/Lateral: 1.356"
"LHFPL3","Basal",1.28255560283134,"Lateral",0.968622640114618,1.32410244166869,91,"Basal/Lateral: 1.324"
"ASTN2","Basal",1.04313737867987,"Lateral",0.788746826303013,1.32252497746232,94,"Basal/Lateral: 1.323"
"GPI","Basal",1.29619607442427,"Lateral",0.99171056040986,1.30703062583963,100,"Basal/Lateral: 1.307"
"GULP1","Lateral",1.57067795435908,"Basal",0.37922683736475,4.14179008340689,1,"Lateral/Basal: 4.142"
"ZNF536","Lateral",1.22097415439485,"Basal",0.366176049415148,3.33439108413829,2,"Lateral/Basal: 3.334"
"ZBTB20","Lateral",1.40185221893596,"Basal",0.471393200609928,2.97384904390247,3,"Lateral/Basal: 2.974"
"SATB1","Lateral",1.02071513394048,"Basal",0.405939099222662,2.51445385747533,6,"Lateral/Basal: 2.514"
"EPHA3","Lateral",1.04132378796074,"Basal",0.434753642466335,2.39520428639394,7,"Lateral/Basal: 2.395"
"SLC4A4","Lateral",1.42471751824254,"Basal",0.660386621319762,2.1573991238576,13,"Lateral/Basal: 2.157"
"TSHZ2","Lateral",1.73682941373348,"Basal",0.813383671429895,2.13531384356439,14,"Lateral/Basal: 2.135"
"NCALD","Lateral",1.1883679752997,"Basal",0.571320482982566,2.08003740579342,17,"Lateral/Basal: 2.08"
"GRM3","Lateral",1.00178459536104,"Basal",0.494649290419324,2.025242155936,20,"Lateral/Basal: 2.025"
"GRIK1","Lateral",1.00065359433112,"Basal",0.495125813096962,2.02100873729877,21,"Lateral/Basal: 2.021"
"SAMD5","Lateral",1.47394492691356,"Basal",0.735186333883035,2.00485898469933,23,"Lateral/Basal: 2.005"
"HS6ST3","Lateral",2.0634076909282,"Basal",1.03674933431242,1.99026671408154,24,"Lateral/Basal: 1.99"
"PTPRZ1","Lateral",1.3934804571738,"Basal",0.730253958910782,1.90821349226543,28,"Lateral/Basal: 1.908"
"ANKFN1","Lateral",1.2241860763574,"Basal",0.656996859709132,1.86330582599646,30,"Lateral/Basal: 1.863"
"LHFPL6","Lateral",1.38676833276924,"Basal",0.751006052957884,1.84654747762333,32,"Lateral/Basal: 1.847"
"KCTD8","Lateral",1.49121073227173,"Basal",0.813368002772284,1.83337766815155,34,"Lateral/Basal: 1.833"
"SYNPR","Lateral",1.30262481687705,"Basal",0.719246526709405,1.81109643008863,38,"Lateral/Basal: 1.811"
"LCORL","Lateral",1.10679486994823,"Basal",0.636576750883535,1.738666811837,42,"Lateral/Basal: 1.739"
"RGS6","Lateral",2.14956006215738,"Basal",1.28310378880033,1.67528151730202,49,"Lateral/Basal: 1.675"
"CNTN6","Lateral",1.20627215437154,"Basal",0.720346624214568,1.67457181559892,50,"Lateral/Basal: 1.675"
"ALCAM","Lateral",1.09990880456489,"Basal",0.656905469732696,1.67437912339573,51,"Lateral/Basal: 1.674"
"GLRA2","Lateral",1.20476007188787,"Basal",0.722117874677591,1.66837037848671,52,"Lateral/Basal: 1.668"
"SPOCK3","Lateral",1.10936818856296,"Basal",0.66775728750214,1.66133445388929,53,"Lateral/Basal: 1.661"
"GALNTL6","Lateral",2.26932291997155,"Basal",1.3683178350197,1.6584764605797,54,"Lateral/Basal: 1.658"
"OLFM3","Lateral",1.81044930604712,"Basal",1.10531662600595,1.63794632546979,58,"Lateral/Basal: 1.638"
"GABRB2","Lateral",1.7939720453367,"Basal",1.1074259798227,1.61994758839225,60,"Lateral/Basal: 1.62"
"CPNE4","Lateral",1.79425511172444,"Basal",1.11770446055856,1.60530370508477,65,"Lateral/Basal: 1.605"
"TRPC5","Lateral",1.00067871159105,"Basal",0.634234969841201,1.57777284314929,67,"Lateral/Basal: 1.578"
"CNTN5","Lateral",3.31456596136766,"Basal",2.10807355353184,1.57231988220452,69,"Lateral/Basal: 1.572"
"KCNB2","Lateral",1.68427363014997,"Basal",1.07679199751072,1.56415875493466,71,"Lateral/Basal: 1.564"
"ZNF704","Lateral",1.01221842679279,"Basal",0.654240796296684,1.54716494679395,75,"Lateral/Basal: 1.547"
"SPHKAP","Lateral",1.32226563626197,"Basal",0.86028394897349,1.53701070191967,76,"Lateral/Basal: 1.537"
"SGCD","Lateral",1.31003033010934,"Basal",0.861375256184448,1.52085902248023,80,"Lateral/Basal: 1.521"
"F13A1","Lateral",1.75332362282225,"Basal",1.16538491292508,1.50450173447112,82,"Lateral/Basal: 1.505"
"PTPRT","Lateral",1.09752352283697,"Basal",0.735339787743276,1.49253928745678,83,"Lateral/Basal: 1.493"
"TRPM3","Lateral",3.3589988442147,"Basal",2.25318949109299,1.49077512454813,84,"Lateral/Basal: 1.491"
"UNC5D","Lateral",1.58145884604383,"Basal",1.06298047379226,1.48775907463461,85,"Lateral/Basal: 1.488"
"MEF2C","Lateral",2.50328612256745,"Basal",1.68571636020357,1.48499841471856,87,"Lateral/Basal: 1.485"
"FIGN","Lateral",1.04230422335305,"Basal",0.70855146636688,1.47103530629539,89,"Lateral/Basal: 1.471"
"SSBP2","Lateral",1.94346576349799,"Basal",1.32422358974798,1.46762659912127,90,"Lateral/Basal: 1.468"
"GUCY1A1","Lateral",1.65900069548889,"Basal",1.13113928437372,1.46666349441434,91,"Lateral/Basal: 1.467"
