"gene","logFC","log.p.value","log.FDR","std.logFC","cellType.target","rank_marker","anno_logFC"
"LEF1",0.556989897656474,-4099.7262694857,-4089.30583508239,2.69885792226429,"Human_Endo NOSTRIN",1," std logFC = 2.699"
"EBF1",0.748281659996789,-3510.6143980459,-3500.88711082316,2.48906646194557,"Human_Endo NOSTRIN",2," std logFC = 2.489"
"TBX3",0.290494116434222,-3179.36455211462,-3170.04272999998,2.3642321501993,"Human_Endo NOSTRIN",3," std logFC = 2.364"
"ITGA1",0.648931713044056,-3016.85292659662,-3007.81878655443,2.30086045143312,"Human_Endo NOSTRIN",4," std logFC = 2.301"
"CFH",0.391067105799843,-2983.58291320487,-2974.771916714,2.28769856285639,"Human_Endo NOSTRIN",5," std logFC = 2.288"
"NOSTRIN",0.29531406966509,-2889.05415587585,-2880.42548094177,2.24993531465615,"Human_Endo NOSTRIN",6," std logFC = 2.25"
"FLT1",0.747879624229299,-2735.84548455247,-2727.37096029822,2.18751756202286,"Human_Endo NOSTRIN",7," std logFC = 2.188"
"MECOM",0.53058588395224,-2628.43987925005,-2620.09888638842,2.14280523964687,"Human_Endo NOSTRIN",8," std logFC = 2.143"
"CLDN5",0.614275895499933,-2577.10943273736,-2568.88622291139,2.1211416920577,"Human_Endo NOSTRIN",9," std logFC = 2.121"
"TBX18",0.281057914516141,-2564.17120457797,-2556.05335526765,2.11565009570983,"Human_Endo NOSTRIN",10," std logFC = 2.116"
"ADGRL4",0.375847192051027,-2517.92243304242,-2509.89989391191,2.09591513123854,"Human_Endo NOSTRIN",11," std logFC = 2.096"
"ITIH5",0.395937172344148,-2463.98765628848,-2456.05212853497,2.07268873596369,"Human_Endo NOSTRIN",12," std logFC = 2.073"
"EPAS1",0.863516065471839,-2416.26433774036,-2408.40885269452,2.05194122586604,"Human_Endo NOSTRIN",13," std logFC = 2.052"
"TGM2",0.335270248266797,-2196.98889901678,-2189.20752194309,1.95407601023943,"Human_Endo NOSTRIN",14," std logFC = 1.954"
"COBLL1",0.835998832001847,-2130.78503888859,-2123.07265468638,1.92364618644247,"Human_Endo NOSTRIN",15," std logFC = 1.924"
"ADAMTS9",0.850255900589305,-2123.26446178691,-2115.61661610584,1.92016175896366,"Human_Endo NOSTRIN",16," std logFC = 1.92"
"CARMN",0.234543972518896,-2050.21445614157,-2042.62723508232,1.8860118029474,"Human_Endo NOSTRIN",17," std logFC = 1.886"
"SLC6A12",0.362339092611352,-1971.36654267612,-1963.8364800307,1.84850665545314,"Human_Endo NOSTRIN",18," std logFC = 1.849"
"ERG",0.406470286440255,-1957.91904752615,-1950.44305210201,1.84204049755396,"Human_Endo NOSTRIN",19," std logFC = 1.842"
"IGFBP7",0.853854324938271,-1950.24522386218,-1942.82052173243,1.83834124481829,"Human_Endo NOSTRIN",20," std logFC = 1.838"
"VIM",0.832679465471603,-1908.32811683996,-1900.95220487438,1.81801290733013,"Human_Endo NOSTRIN",21," std logFC = 1.818"
"LRRC32",0.21558297858914,-1907.77124077521,-1900.44184882526,1.81774143820131,"Human_Endo NOSTRIN",22," std logFC = 1.818"
"PTH1R",0.38493402865175,-1895.88137117635,-1888.59643098897,1.81193638594366,"Human_Endo NOSTRIN",23," std logFC = 1.812"
"IL4R",0.485628861918134,-1848.40462912648,-1841.16224855352,1.78858407649077,"Human_Endo NOSTRIN",24," std logFC = 1.789"
"CDH5",0.226794368463662,-1844.43056228282,-1837.22900370438,1.78661662653345,"Human_Endo NOSTRIN",25," std logFC = 1.787"
"VWF",0.667734863548466,-1835.28824084348,-1828.12590297819,1.78208292498009,"Human_Endo NOSTRIN",26," std logFC = 1.782"
"GGT5",0.374576352694966,-1821.83272226089,-1814.70812472358,1.77539090203681,"Human_Endo NOSTRIN",27," std logFC = 1.775"
"CD34",0.234302110113144,-1821.38784463454,-1814.29961474141,1.77516924776252,"Human_Endo NOSTRIN",28," std logFC = 1.775"
"IFITM3",0.666576148914203,-1820.27194500935,-1813.21880643603,1.77461315354628,"Human_Endo NOSTRIN",29," std logFC = 1.775"
"HLA-E",0.593988403622439,-1813.18937699466,-1806.17013997301,1.77107989427934,"Human_Endo NOSTRIN",30," std logFC = 1.771"
"FOSL2",0.5304241009629,-1807.94684449826,-1800.96039729944,1.76846037623672,"Human_Endo NOSTRIN",31," std logFC = 1.768"
"DUSP1",0.475794769708844,-1788.1774402287,-1781.22274172819,1.75854989572505,"Human_Endo NOSTRIN",32," std logFC = 1.759"
"KLF2",0.320883542075473,-1739.42048935673,-1732.49656251489,1.73388442952503,"Human_Endo NOSTRIN",33," std logFC = 1.734"
"BGN",0.25531505467499,-1720.56022438106,-1713.66615050236,1.72425581868005,"Human_Endo NOSTRIN",34," std logFC = 1.724"
"TBX2",0.196489386953731,-1692.22424421596,-1685.35915787414,1.70969528248206,"Human_Endo NOSTRIN",35," std logFC = 1.71"
"SMIM3",0.213721020097346,-1686.69830612004,-1679.86139065519,1.70684235045906,"Human_Endo NOSTRIN",36," std logFC = 1.707"
"IL18R1",0.331669832779829,-1677.96889739673,-1671.15938090607,1.70232649648608,"Human_Endo NOSTRIN",37," std logFC = 1.702"
"PCAT19",0.162767356154725,-1641.95604298924,-1635.17319474566,1.68357772315174,"Human_Endo NOSTRIN",38," std logFC = 1.684"
"NOTCH4",0.213611983351396,-1618.00179116694,-1611.24491840976,1.67099865263007,"Human_Endo NOSTRIN",39," std logFC = 1.671"
"ADIRF",0.675787433413097,-1613.71254728773,-1606.98099233853,1.66873694022647,"Human_Endo NOSTRIN",40," std logFC = 1.669"
"COL1A2",0.164634775710316,-1600.65253601767,-1593.94567368107,1.66183277981509,"Human_Endo NOSTRIN",41," std logFC = 1.662"
"TINAGL1",0.175838578144425,-1578.23383650627,-1571.55107172124,1.64991846531824,"Human_Endo NOSTRIN",42," std logFC = 1.65"
"ADGRF5",0.355007101763151,-1573.38765403103,-1566.72841974342,1.64733243366596,"Human_Endo NOSTRIN",43," std logFC = 1.647"
"FENDRR",0.148688565112428,-1565.24606683565,-1558.60982206626,1.64297935990645,"Human_Endo NOSTRIN",44," std logFC = 1.643"
"FOXC1",0.17317109853961,-1555.31722295519,-1548.70345104165,1.63765609173372,"Human_Endo NOSTRIN",45," std logFC = 1.638"
"ADGRD1",0.272773654722524,-1523.29460295792,-1516.7028099511,1.62037629740792,"Human_Endo NOSTRIN",46," std logFC = 1.62"
"PEAR1",0.172021377786156,-1516.75024151041,-1510.17995470881,1.6168236635645,"Human_Endo NOSTRIN",47," std logFC = 1.617"
"MT2A",0.933156022708052,-1503.18953644737,-1496.64030305498,1.6094388571068,"Human_Endo NOSTRIN",48," std logFC = 1.609"
"ANXA3",0.241970478635037,-1498.56316436395,-1492.03455025875,1.60691219784899,"Human_Endo NOSTRIN",49," std logFC = 1.607"
"IL1R1",0.293776930655111,-1497.22748343588,-1490.719072038,1.60618203403235,"Human_Endo NOSTRIN",50," std logFC = 1.606"
"JUNB",0.519741192994391,-1489.64316639382,-1483.15455762324,1.60203008722703,"Human_Endo NOSTRIN",51," std logFC = 1.602"
"NOTCH3",0.26892534901626,-1480.93998384082,-1474.47079315609,1.59725319045534,"Human_Endo NOSTRIN",52," std logFC = 1.597"
"TFPI",0.23343337659212,-1476.53264206967,-1470.08249957991,1.59482903541155,"Human_Endo NOSTRIN",53," std logFC = 1.595"
"PECAM1",0.450970908209612,-1458.01479879827,-1451.58334844152,1.58460579640612,"Human_Endo NOSTRIN",54," std logFC = 1.585"
"LGALS1",0.444491956842385,-1429.87997882236,-1423.46687760428,1.56895386846604,"Human_Endo NOSTRIN",55," std logFC = 1.569"
"EGFL7",0.380286803564973,-1422.28277210014,-1415.88768938757,1.56470223039052,"Human_Endo NOSTRIN",56," std logFC = 1.565"
"ARHGAP29",0.718785838011964,-1409.11854917291,-1402.74116603743,1.55730932787966,"Human_Endo NOSTRIN",57," std logFC = 1.557"
"LINC02147",0.304695925591278,-1396.15509723303,-1389.79510584026,1.54999683033247,"Human_Endo NOSTRIN",58," std logFC = 1.55"
"YBX3",0.596864470466209,-1390.95249578201,-1384.60959882261,1.54705298858467,"Human_Endo NOSTRIN",59," std logFC = 1.547"
"ITGA10",0.232978725633758,-1390.46828847796,-1384.14219863687,1.54677873677858,"Human_Endo NOSTRIN",60," std logFC = 1.547"
